AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM;AAV;pop20;surfcom2023;artif_total;artif_par_hab;art22act23;art22hab23;ratio_act_hab;densite_pop;mepart1420;artpop1420;categorie_taille
000;Commune hors attraction des villes;0;0;8921;000;7235999;257695331618;662893199;1223528.9621680984;8431320;24535102;0.8869195716293006;0.5089240550882761;-42.17380982769624;-1695126.5;
001;Paris;5;50;1929;001;13125142;19036599616;175192014;120529.63941565387;3341187;4511280;2.823202951894003;9.935076519179068;333.38818040435456;668896.44;Petite
002;Lyon;4;42;397;002;2293180;4621017179;68558744;30830.353705298647;857690;1966622;2.4328105174303776;5.106700955302537;145.81650753768844;121572.31;Petite
003;Marseille - Aix-en-Provence;4;42;115;003;1879601;3970639832;68968189;11320.552813635644;1066000;2092472;1.3685943038385282;3.622061998319015;28.270869565217392;192849.97;Petite
004;Lille (partie française);4;42;201;004;1515061;1677285499;30942398;10000.704203498648;489150;1130817;1.5757726155053597;9.608058741629856;96.47109452736318;10345.98;Petite
005;Toulouse;4;42;527;005;1470899;6570034612;100512126;88023.5949470558;1619913;4454547;0.9057367739092738;1.79905057973093;92.80415559772297;386697.13;Petite
006;Bordeaux;4;42;275;006;1376375;6398625157;77975415;32759.139109684933;1010812;2418068;0.4380663079358442;3.108088901514236;75.8904;93755.69;Petite
008;Nantes;4;41;116;008;1022775;3542032732;47118685;10694.247654030223;533213;1355089;1.2735256128503996;3.285722771385855;45.672413793103445;89640.81999999999;Petite
010;Strasbourg (partie française);4;41;268;010;860744;2248831119;23878288;14961.394646682887;756976;677049;9.53958818738926;2.952020995195157;45.61847014925373;27493.100000000006;Petite
012;Montpellier;4;41;161;012;813272;2519726172;28448162;13902.076532163299;251678;880953;1.4106612819003972;2.894199644870037;46.296708074534166;10766.690000000004;Petite
013;Rennes;4;41;183;013;763749;3834189501;52614984;19321.213644671352;660547;2590167;0.7217336921697205;1.9623532146104221;-25.510601092896174;235648.58000000002;Petite
014;Grenoble;4;41;204;014;720081;2921955692;20444319;13362.406685580396;155156;734905;0.3879524540198655;3.221171808890259;-263.3057843137255;38454.96;Petite
015;Rouen;3;34;317;015;708289;2802478705;39778216;46730.533767808956;328047;1631580;0.46606349326437346;2.741242334373386;-3.084462025316453;15585.71999999999;Petite
017;Nice;3;34;100;017;618489;2067377395;9310273;4069.9777408698246;60441;426736;0.41458819408847186;3.103790558242852;-18.2243;5609.31;Petite
018;Toulon;3;34;35;018;576648;1014138879;21047898;3378.9572710900798;202339;1485591;0.17544332775491595;6.442394804138583;53.85228571428572;-18738.3;Petite
019;Tours;3;34;162;019;522317;3642902646;34547568;21726.08820989055;558770;2027583;0.3295819330202579;1.6527740916472773;10.964876543209876;58037.58;Petite
020;Nancy;3;34;353;020;508947;3140617631;14355244;32697.676195863998;186335;306909;1.0565703526376493;1.7415321590964112;11.410198300283284;-124513.32;Petite
022;Clermont-Ferrand;3;33;209;022;507954;2859871781;29158069;24573.221509585164;161392;797869;0.33608771580790503;2.0459788227943094;8.52712918660287;-63430.66000000001;Petite
023;Saint-Étienne;3;33;105;023;500851;1641919854;18371757;8506.206943880947;743509;936240;3.824046941683656;2.8124762448768674;16.474571428571426;30679.32;Petite
024;Caen;3;33;296;024;475144;2617607744;34967536;40099.25466714223;667053;1808586;1.0224328155137916;1.9049904165924691;21.361796610169492;46687.52999999999;Petite
025;Orléans;3;33;136;025;454208;3440126584;35262818;30079.32828214948;400118;1319789;1.0036889772262922;1.9327160625920086;4.776617647058823;313365.75;Petite
026;Angers;3;33;81;026;437560;2448703057;26400739;9351.783378657148;293720;1007294;1.167815519983525;1.9595726396341726;14.056913580246912;-5203.34;Petite
028;Dijon;3;33;333;028;413996;3905589386;16791119;34859.800352006314;496393;320181;3.1845535969379526;1.0174034515187236;-23.781201201201203;-12367.76;Petite
029;Mulhouse;3;33;132;029;410008;1226771701;12588664;8193.470887503163;266943;382236;1.0686904291193087;2.889034741062904;0.3684848484848482;23533.56;Petite
030;Perpignan;3;33;118;030;418104;1825732324;25012304;10763.602755190956;201842;1329634;0.793914768228865;2.3291188972538337;15.55228813559322;53749.79;Petite
031;Cannes - Antibes;3;32;24;031;393232;440728153;7417692;1214.0902795437526;50178;385049;0.2865152134777697;9.83568508585071;-44.084583333333335;29.930000000000632;Petite
032;Brest;3;32;68;032;373808;1274204230;21055993;6335.871553794733;144728;805069;0.9068605798771543;2.655526572731374;20.14294117647059;34853.909999999996;Petite
033;Metz;3;32;245;033;373821;1879713668;13486917;18774.96787148949;158557;343466;0.2525714084983937;1.7645314164366226;-40.428326530612246;-29655.510000000002;Petite
034;Le Mans;3;32;144;034;369976;2350176237;26561180;18693.819394362188;357507;647055;1.7466252528313249;1.3349190319885396;2.7175;-10188.32;Petite
035;Amiens;3;32;369;035;354217;3095470479;15268140;32086.319366990985;301171;468540;0.21425312688021594;0.7865991171454151;-13.251571815718156;-6555.759999999999;Petite
036;Reims;3;32;294;036;355617;3264547994;15453785;29222.8825139711;265782;471923;0.4433890685000427;0.8461743205640235;-12.432142857142857;41236.46;Petite
037;Nîmes;3;32;92;037;347033;1472594789;18259404;7342.245387615884;219309;673777;5.7927927241259685;1.7720786057168474;20.22217391304348;23738.0;Petite
038;Valenciennes (partie française);3;32;102;038;337293;727149944;10388103;6187.3316784564495;96793;232520;0.17517726774247422;4.501802191912371;7.109411764705882;-12307.09;Petite
039;Le Havre;3;32;116;039;333814;1020407879;15288640;14306.112476063592;87088;404442;0.696679571310017;2.1781528210626795;-5.197672413793103;-425197.23;Petite
040;Avignon;3;32;48;040;337039;957254526;15797703;3238.866382307247;169334;450481;0.532465324306484;3.3576199963544906;19.369375;31669.77;Petite
041;Limoges;3;32;127;041;323156;3427477570;24153455;16123.712369858747;265492;1064684;0.3508919540830714;0.7869410009100558;-1.4883464566929137;312431.23;Petite
042;Lens - Liévin;3;32;50;042;321219;350943297;11078382;2196.3684771247576;288162;193938;44.39366419995076;9.463412832279229;26.162799999999997;-905.1399999999999;Petite
043;Annecy;3;31;79;043;296738;1225004571;13894674;6466.134510319838;83195;523049;0.1041477863358299;1.8943041056991616;19.53253164556962;16252.94;Petite
044;Pau;3;31;227;044;280668;2181767966;25532318;43740.067457791345;129744;1007971;0.1901515632923491;1.2072911256816734;2.2544298245614036;86531.76999999999;Petite
045;Besançon;3;31;310;045;281610;2521436261;15918261;33538.65001576196;201402;533827;0.5800135157813519;0.7969246946600703;19.54641935483871;104846.09999999999;Petite
046;Poitiers;3;31;97;046;281020;2602845614;18995795;9704.763995232577;193527;804608;0.5773120967461682;1.2203632909612459;0.874742268041237;24209.57;Petite
047;Bayonne (partie française);3;31;56;047;280229;1157782476;20908988;8379.662149207705;376039;707132;1.1399218977809185;2.991870876862627;38.18767857142858;99133.21;Petite
048;Dunkerque;3;31;66;048;258870;887539910;10440237;6399.5959143238315;457500;264397;19.801779673288056;3.2158122668437947;-18.341666666666665;17309.170000000002;Petite
049;Valence;3;31;71;049;255750;1234243605;13986215;5511.816573468016;313193;583136;0.5830841672875805;2.2241928366772927;27.813521126760563;62075.87;Petite
050;Chambéry;3;31;115;050;258795;1170602348;12360624;10633.31488004698;49653;449328;4.255788532712707;2.497827601422335;17.587565217391305;19525.94;Petite
051;La Rochelle;3;31;72;051;243480;1198393130;12369151;5898.440157278289;63520;553502;0.19104904833524722;2.4650833383540416;32.924305555555556;4396.1100000000015;Petite
052;Quimper;3;31;58;052;238389;1470185565;15723367;5142.985535769411;298555;891856;0.24290041407539856;1.4640201854516235;11.148620689655173;-16814.79;Petite
