;idreg;aav2020txt;naf09art10;art09act10;art09hab10;art09mix10;art09rou10;art09fer10;art09inc10;naf10art11;art10act11;art10hab11;art10mix11;art10rou11;art10fer11;art10inc11;naf11art12;art11act12;art11hab12;art11mix12;art11rou12;art11fer12;art11inc12;naf12art13;art12act13;art12hab13;art12mix13;art12rou13;art12fer13;art12inc13;naf13art14;art13act14;art13hab14;art13mix14;art13rou14;art13fer14;art13inc14;naf14art15;art14act15;art14hab15;art14mix15;art14rou15;art14fer15;art14inc15;naf15art16;art15act16;art15hab16;art15mix16;art15rou16;art15fer16;art15inc16;naf16art17;art16act17;art16hab17;art16mix17;art16rou17;art16fer17;art16inc17;naf17art18;art17act18;art17hab18;art17mix18;art17rou18;art17fer18;art17inc18;naf18art19;art18act19;art18hab19;art18mix19;art18rou19;art18fer19;art18inc19;naf19art20;art19act20;art19hab20;art19mix20;art19rou20;art19fer20;art19inc20;naf20art21;art20act21;art20hab21;art20mix21;art20rou21;art20fer21;art20inc21;naf21art22;art21act22;art21hab22;art21mix22;art21rou22;art21fer22;art21inc22;naf22art23;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;art22inc23;naf09art23;art09act23;art09hab23;art09mix23;art09inc23;art09rou23;art09fer23;artcom0923;pop14;pop20;pop1420;men14;men20;men1420;emp14;emp20;emp1420;mepart1420;menhab1420;artpop1420;surfcom2023;ratio_act_hab;densite_pop;artif_total;artif_par_hab
idreg;1.0;-0.19079725127408836;0.035298489793845894;0.01054257472755141;0.05240912558971021;0.0038548883761946135;0.014217145968353408;-0.005567340298882966;0.002187727523526173;0.035298986089228324;0.010542898469191927;0.05241006656715757;0.0038583121835599494;0.01422616997842606;-0.005567695774686447;0.0021704218713190326;0.03545915697709367;0.00863451485045025;0.06112249213467579;0.01567063036744797;0.01028013829375481;-0.013823160891619297;0.008234759578453998;0.04513839554348855;-0.003967779523405095;0.07525139695440367;0.010705686054200886;0.007187510388243981;-0.007377549452164614;0.01360844910402395;0.031523479322748786;0.001314936155132722;0.05605773542635188;0.003318977210946355;-0.00039500421536992156;0.018634881873720435;0.008165046783917728;0.03942835061281934;0.003766959341191814;0.06021091879544353;0.015505086746292286;0.018438402468129843;-0.008242705102606235;0.008962281236471976;0.05349795202903383;0.019158681889485135;0.06996991123526893;0.00784600008206179;0.01633442698102799;-0.004640410352814069;0.012381595161197707;0.030666385659623714;0.00030481329015658433;0.04290345199863909;0.009616161022700404;0.01725034961483412;-0.0016835735676504228;0.011334399479858174;0.027248462848973243;-0.007744355515400781;0.05696318714017357;0.003951447289530398;0.0038150596236267067;-0.009232668082653842;0.01018278161750878;0.026205231940195466;-0.00781883947657977;0.05206641066891104;0.009544055902773577;-0.0016861192508074085;0.004097497253785459;0.008159500110772613;0.03371589247417981;-0.0019347476013725938;0.06115129700274122;0.011993305053793774;0.0044890661135336025;0.005371841003809022;0.004117957934978953;0.06464763478139042;0.010465490152764068;0.09218033892356951;0.01771270942538921;0.01589769362736461;0.0026369806205702646;0.004676557465279187;0.04733878821982381;0.003477717938101316;0.06292567143363402;0.02293529930127311;0.01928059900645334;-0.0022222362882950014;0.009543206386822855;0.04500805440024317;-0.0009306808504310828;0.07467430136283938;0.016043984115846774;0.004272821189786682;0.008303063763811507;0.021947199113244907;0.06591911477571735;0.009334940482509508;0.09481140486148984;0.02243393003795494;0.02664876978984481;0.02277456559916184;-0.012308064336758667;-0.005291236692928118;-0.019294175240365724;-0.018453911065560755;0.02635095172214175;-0.013507120655999568;-0.012836235026224708;0.014105602438615564;-0.013321882597051374;-0.012331853653084328;0.009240749256971183;-0.001040379128935454;-0.02348518079179533;0.008787909664135625;-0.011950182974856276;-0.010816918093747714;-0.1085862949579911;0.06654037327173823;0.05899993162135399
aav2020txt;-0.19079725127408836;1.0;0.07048765966661624;0.039617773717832275;0.05755034234056989;0.015796171844872864;0.07542260352188739;0.0009716181258625198;0.027249081399016044;0.07048824997292848;0.03961872120982846;0.05755159260728755;0.015801221124120485;0.07543845546424077;0.0009723768772163995;0.02721437081826493;0.07172772672594356;0.03492971422142913;0.07611686404891956;0.04269918292293081;0.060798658867167815;0.0022884511181228105;0.010346746806241494;0.09870900536816217;0.06254456697378562;0.08422485618433892;0.05205444047687603;0.06595884967800662;0.0031070464820503125;0.016178193309400946;0.07817667547291926;0.04191153846836938;0.07781884269913578;0.04729571866375688;0.06542826201015861;0.0167527934391636;0.011516773276301486;0.08843482009070543;0.039934158667690726;0.08595248207365203;0.037837285702634116;0.07043697414577987;0.001986913919283405;0.02914575383208436;0.0892820071055756;0.0472462533974482;0.0833543688438397;0.03212297534792584;0.08480161116776892;0.013641523136974367;0.009328195885804417;0.09030847714670354;0.044495003720280285;0.08599995359572297;0.02965170176204196;0.09023363438308585;0.003710549864689871;0.015919577752655074;0.08918632040940405;0.05022702125637332;0.08113232190350919;0.02999077212940392;0.09029859776473978;0.009643303301384238;0.0040254899809561906;0.09573644444549903;0.05248269487727414;0.09208160144839381;0.04634979027158231;0.08263910084112927;0.006129963488159698;0.008994594618353016;0.08325909222960616;0.04854629561568037;0.079311446313796;0.02789373565051207;0.06867661408052948;-0.006652016639624617;0.008763059531664452;0.10782477984960905;0.06356456635126106;0.10551543109916203;0.02849690483017158;0.04849778601095206;-0.0021697414083276375;0.0033515700016740722;0.08346842923284188;0.06032098439927703;0.07213093043574585;0.02826923529991841;0.06574134498497257;-0.0015563519866481068;-0.0019224141745679275;0.0836949316922553;0.03844438950382277;0.09027747954118183;0.03110603943998923;0.04855613496794795;0.0031405469347078573;0.00955966198598913;0.1451238239461666;0.10479010125803201;0.12335082767697308;0.0716280283908636;0.036229637072486554;0.15925612267736025;0.011392974266976063;0.27427303007378934;0.10161673077203698;0.10636140178268484;0.0948108284187338;0.08697663576031582;0.0916928712943764;0.14376301109303796;0.06336162458133648;0.06352656119651513;0.05637465858823795;0.01586572209213735;0.04073032323292862;0.027303736792674248;-0.031226470104060523;0.003730616589674326;0.23901172636580875;0.14502863511744027;-0.08150721802435291
naf09art10;0.035298489793845894;0.07048765966661624;1.0;0.819777729026909;0.6258136542578767;0.18430566203452542;0.3974259230108959;0.05632942319481608;0.20253908593394085;0.9999999998714824;0.8197792664448231;0.6258142228233236;0.18431845171003375;0.3974430837294853;0.05632971980862749;0.2024719135087568;0.22685517801708013;0.08533914517726421;0.2924090583384056;0.1331767709442063;0.1555565374913303;-0.0006335315057537336;0.04197563090245926;0.335880388238677;0.19444741837164692;0.3392790021156896;0.11222411868085347;0.14603209020170896;-0.0006102592163680908;0.04393234807818056;0.23722935674229578;0.1017848955185206;0.293942179473589;0.10640374416564428;0.13519655651773002;0.023929841125146924;0.03227033345817048;0.27034843267974024;0.10983793926024447;0.30511534579087574;0.08999981049269476;0.15678761672987535;0.01093544325315019;0.0585001087703968;0.41400468311956906;0.3624543609007619;0.2961643452467831;0.071993921684394;0.1884621717262139;-0.0003416412914526379;0.021895413719109153;0.27009170479668915;0.13306562302927813;0.28068479955599956;0.12870122020900762;0.15785969294790034;0.0028514236521141887;0.034481337054822384;0.2479273305775656;0.12873767574142703;0.26279638626813273;0.08206351644919886;0.1436150402988334;0.00678941928361718;0.031805262069793235;0.24067739844571587;0.12273084043248969;0.25341252453856744;0.1213963342013026;0.1509980975952846;0.017844685335920173;0.02080314664039911;0.21236911972228487;0.10240401558291129;0.23742752684420382;0.053942767126385543;0.11659347560448811;0.011743370929739882;0.02017697093946266;0.3790976617238076;0.3459528803743397;0.2768003296409988;0.06016437782537558;0.09837672536956737;0.00263226928215223;0.039999547991028644;0.2550361883031328;0.1472393094087278;0.24728671183989132;0.07690947715509917;0.11363615246863958;0.007802665751375354;0.027941097790906106;0.27891003297969097;0.1569634996280749;0.2754696835509147;0.10433093843322984;0.13011221082090255;0.007361046236328275;0.020716276388758243;0.6922499606048542;0.6755204903440329;0.5204869300377377;0.28144568372193257;0.1394383389810258;0.4142320343625374;0.029326849064489936;0.3004805984699501;0.1381242206354957;0.14308550887948232;0.09096916254139703;0.12535137293899312;0.13141088978242288;0.18804296932225423;0.09778533680666474;0.0993154833878866;0.11326070254637598;0.003249350481178518;-0.0010871151176144378;0.010158326235239984;0.1321221372119978;0.0021900479815459553;0.05143019736426457;0.6803604028455271;0.1448781149157226
art09act10;0.01054257472755141;0.039617773717832275;0.819777729026909;1.0;0.10942559420029255;0.03333866716495963;0.14916260053304845;0.0025128737534825902;0.032999517936757025;0.8197773252041601;0.9999999998997119;0.10942621217777174;0.03334418658392884;0.14916883018745583;0.002512913384743575;0.03296986949097723;0.0785205016680718;0.041844222549757656;0.07970988309094497;0.052015774018998324;0.06737923864453377;-0.0015520201685602093;0.005437415833376378;0.13378695911083383;0.1261807297976761;0.09294831755463447;0.034029589527900264;0.06596810378172807;-4.741041025680893e-05;0.010357604004223702;0.09034602590125237;0.059534472528398004;0.09077281076105358;0.027377831033536627;0.05971903799492939;0.012447609803747867;0.005289447468004598;0.0956633952286413;0.05561260871330312;0.0887658947649498;0.030141054577888394;0.0687542017227055;0.012001045227098966;0.011703280175471457;0.30832659945794966;0.3940767584625779;0.08535885896675753;0.02777529728505405;0.10632458911252284;-0.00023143315820161795;0.00783087063267822;0.08878490369570269;0.06220774311319891;0.072131307359593;0.03510778904194176;0.07450551731650587;0.0016749057787615231;0.011394104218370137;0.09563690202161931;0.07246025655742763;0.07984054699706376;0.028602755872638063;0.06183050372005169;0.0017774322488756124;0.0061005436951713276;0.0915139842218984;0.06182184410928014;0.07495910183603896;0.04103664960537611;0.08232020197439832;0.012338934641456691;0.008810052163435793;0.08685813993326501;0.053576259865504905;0.08227216718006573;0.018820064009493116;0.04991022775429803;0.008098777209741056;0.008576533662413706;0.2575659948609746;0.35562685504875213;0.09103909024862981;0.020248033872513498;0.039186070428146556;-0.00021154545862124512;0.013036764059618148;0.10024633334457644;0.0791524230151684;0.07921879856789017;0.03399531061998764;0.04732351301546995;0.006287565803862557;0.010947759532775743;0.10076080295153039;0.06820080969580604;0.07845780416037797;0.025157907040569465;0.08464694988833282;0.002526470347087784;0.008671554576807074;0.4190628252689524;0.6761211471727435;0.13485428221965234;0.07491266887994136;0.030523652702103953;0.18073204575105603;0.008648444915768516;0.1844179234990635;0.06756563588808359;0.0697547671910506;0.03844241773990521;0.06254308979957922;0.06529916560212053;0.08688667860789386;0.05625620991515877;0.057103172666592324;0.06447302733771149;0.0014005023733763445;-0.00020485873556191366;0.0013266582727890109;0.012383436198592338;0.0032102254081427853;0.03594087514735194;0.40539473618346217;0.13820079814759018
art09hab10;0.05240912558971021;0.05755034234056989;0.6258136542578767;0.10942559420029255;1.0;0.09936142492546882;0.30901621698050236;0.004926234250767235;0.12741777485452757;0.6258141814438397;0.10942805259338376;0.9999999994671233;0.0993766092388526;0.30903991450547075;0.004926625680608715;0.1273425687092968;0.2722257758145216;0.08053263399750946;0.3999677084175931;0.14895577512473815;0.1529974218851236;-0.000810148892050894;0.04546592346338037;0.39031493749007534;0.1518525810037892;0.46499392557747543;0.14028522784746178;0.14526951695229998;-0.0014257653518159575;0.05596250191018784;0.2731990610308639;0.08767871003200191;0.3915861977972284;0.12362333282543259;0.1404330978946249;0.019476289818793985;0.02637985787986087;0.33543869395166803;0.10889874157024294;0.4124664699872627;0.10754224696887801;0.16222585134622786;0.00237944810411729;0.08833224727595661;0.30639398636063125;0.10589908345990695;0.39988485895924447;0.08483438583152839;0.17108318249696206;-0.0017424026154398296;0.02680304011053667;0.3395438907331716;0.1346410245513954;0.3883814110074077;0.17248229692553785;0.1596852823517196;0.002158471869615702;0.04340610563620948;0.2913939557705194;0.11413526106099063;0.3483410834495879;0.08872101876365528;0.15199641775615505;0.008694244058194247;0.04390484875648938;0.2871034623286212;0.1226984322803838;0.33758389816315537;0.1507456813448498;0.13548887401013898;0.012537231846104913;0.021943057729528516;0.23504738074772685;0.088667600851852;0.29711960626986333;0.05930923047682129;0.12151876502549049;0.005286037176843116;0.016398273143983743;0.30958371499187126;0.1253922191024201;0.35599732433233827;0.0721871925199072;0.10801896495398283;0.00303725820978923;0.051877582431168356;0.29738854160979056;0.13487819180065383;0.32146718900116134;0.08454619742377055;0.11717544243449064;0.0032274203603178944;0.0318818310465433;0.3333104420009649;0.17046773610846938;0.3678445904630654;0.08492501379999465;0.09692496401287407;0.006273675456534486;0.02352673893267945;0.6205791137529236;0.26154330433817496;0.7364072671014423;0.25147133654981957;0.13471069676648453;0.3791579111591544;0.012250917046740533;0.23818356269337776;0.1337448063577943;0.1387709010218467;0.09374277932173279;0.11968336832069612;0.12582824405916226;0.1888648533870784;0.08310227756799962;0.08417262733090557;0.09151862794776502;0.0032292502082009907;-0.003950240631217059;0.0179031907713882;0.11605251841860112;-0.001727815749963047;0.0300021059060391;0.6178353405721176;0.06176996872498269
art09mix10;0.0038548883761946135;0.015796171844872864;0.18430566203452542;0.03333866716495963;0.09936142492546882;1.0;0.07055596711824405;0.0021823312825545015;0.02383079324371084;0.1843057597303881;0.03333945617775166;0.0993618441595282;0.9999999972315317;0.0705600689842959;0.002182370340941054;0.023808435848820857;0.06894669240870217;0.02032687889128739;0.07585846446459689;0.07080106080496332;0.038856260487941385;0.0030366816454719427;0.07390637494620915;0.07830459052301177;0.040679676126468535;0.08152561815008845;0.052712265488032185;0.03310330311063071;-0.0004917865849292575;0.008615437083083785;0.057134347686033954;0.023400265004446797;0.07305646748693834;0.03189316052488021;0.033363137087950655;0.005222266323073931;0.006115320622724688;0.06483055786448483;0.029577937963472925;0.06731930162407541;0.03626509941373463;0.04610852831031216;0.00019160668837695159;0.011554285238707591;0.06295934229157067;0.029596539283468976;0.07045463617906376;0.02142746987495982;0.03897059491755427;-8.72231603187643e-05;0.006474908523769208;0.0671930751368685;0.035048398022403386;0.06614529251327783;0.03707043148795515;0.04390329996222659;0.0020935689582982395;0.009519554583508118;0.07598171968958012;0.03716070037966986;0.07500569038836764;0.09281835793523016;0.040018459028742584;0.0034806633647957276;0.008163360014448956;0.058502194822660974;0.03145889565787147;0.057342532818678106;0.0467435380013568;0.04418757868795555;0.0013782826348452347;0.0043541587558013255;0.07865053607869785;0.05625442859302829;0.06903605924105446;0.0526982333579185;0.024696291697713004;0.005658313825010089;0.00020982192548347125;0.06892490063090909;0.03026499057920707;0.07559907540586805;0.020466032228206157;0.026716465933680072;-0.00020607411695958058;0.012377894964987087;0.058805905626178906;0.030653408267912133;0.0588690276110878;0.025894219322757824;0.026309515098628382;0.00326974649482224;0.005337519201863578;0.11977189661992761;0.07968453042914553;0.07035259619563913;0.3450510641520974;0.0561786019476253;0.011536643314957082;0.0013936332870673521;0.15635261808081227;0.0812473166153379;0.11584925897741018;0.7647415494694094;0.03977168569426749;0.09684698019705722;0.008062245713832834;0.05785400405875631;0.05928707859498333;0.061257611503547194;0.03499639601143376;0.05251893582064396;0.054932571067949056;0.07554112613985318;0.03728687659240982;0.03907909993521875;0.06807013792562315;0.0017417747122049608;0.0010398267432879162;-0.0003026151030889478;0.6258670987170177;0.0009859832102141765;0.019823151796688494;0.15906342563753095;0.002774857105684851
art09rou10;0.014217145968353408;0.07542260352188739;0.3974259230108959;0.14916260053304845;0.30901621698050236;0.07055596711824405;1.0;0.00845148113907772;0.12237306282912093;0.3974260950136865;0.14916419258756833;0.30901654256071526;0.07056438835183639;0.9999999933453313;0.00845212282509481;0.12232042217247922;0.1862910891111026;0.08778653403343557;0.19328035449341727;0.10046025503116729;0.20351114790411262;-0.0010159448702745616;0.022052532404356298;0.24839802317988247;0.1515036050671403;0.22617128442742312;0.08137352648627222;0.16168160307137291;0.001655820033493952;0.03482523348250528;0.1633779922872158;0.08155248776794864;0.18314899668708529;0.07279807701530014;0.1272059277682954;0.012822331228588044;0.017617669027259367;0.19627435611552607;0.08935447407236793;0.20828922719749346;0.0848736091938643;0.1427395143654966;0.0044870227500797485;0.02796485198736154;0.19508598010621256;0.10419132896860217;0.20256098726375496;0.05671293524054821;0.14927558229574173;-0.00039251381478486755;0.012167087722648144;0.20412363842656328;0.11534922486823593;0.19649258996369007;0.09557833900871336;0.15455559793716173;0.0009128127308164425;0.01669822827345471;0.17438693044943357;0.09762588298423135;0.16821076114495864;0.061232529175252695;0.13633846608905761;0.006703636053791306;0.02452458868149038;0.18130930955856753;0.10150400023337221;0.17761571737542534;0.0714171620822423;0.1335027811616739;0.012921857435120917;0.01950430820114237;0.15828404763037335;0.09107386155959636;0.15322928794313523;0.04199528928796392;0.1208091279097775;0.019185770604694584;0.003210637714017069;0.19270643020079023;0.11492368012695664;0.18327719541026963;0.037756015713703725;0.08889180859798232;0.0017568038624513613;0.020620975922233612;0.19234187569464134;0.11951034814610359;0.1720348070191994;0.05688456402674079;0.11770511008305952;0.010973927193613607;0.024909240492238877;0.18719421687508653;0.09540105211729481;0.19570957845625397;0.05684801215492031;0.09478440787279854;0.005963278032760668;0.018261469612639955;0.3888261980814852;0.2569377058543971;0.32181421888288786;0.1628334648512009;0.08380746434679845;0.6306518053765435;0.017164531117547618;0.2502142472356272;0.12274406945591518;0.12751697676942816;0.09011356066562858;0.1124304152440802;0.11799091323679375;0.17191806244814345;0.08649112244473753;0.08805583456454275;0.10452864619868915;0.0029753699319882837;0.00716573193755731;0.0024308873832426478;0.018639196543322762;0.0047506630988083075;0.06159698374993458;0.3850501049114113;0.03770848502235556
art09fer10;-0.005567340298882966;0.0009716181258625198;0.05632942319481608;0.0025128737534825902;0.004926234250767235;0.0021823312825545015;0.00845148113907772;1.0;0.05343937353065465;0.056329374467015844;0.0025128654515498778;0.004926480758613026;0.0021824900999118098;0.008452674832656187;0.9999999995857557;0.05343492833713254;0.002351827126805855;0.0003040345734734587;-0.0006943236570692771;0.004449448623293977;0.0009383604322605844;0.01769804724892611;0.0006389356918052899;0.00549014884499486;0.008475836067175486;0.0008499140221954203;0.004722251526481372;0.0013653505865669907;0.00023358418344179805;0.0008040188373342757;0.005902257816517157;0.0013613018635599604;0.005844368949403225;-0.00034310694044606415;0.011225519122565428;0.02819178839483992;0.0001312165139533948;0.00268962582871239;0.0003332906059082691;-0.0006103353159507668;-0.00020931486411669025;0.01153536871108403;0.0014207332853915322;0.0057495137793305276;0.001787667346154098;-4.3471679339726967e-05;0.0007675117438548628;-8.59585434479811e-06;-0.0001127015045343863;0.013182659013132635;-0.000202156499852022;0.0019251594336755409;0.0027794220267839493;0.0009379190770293284;-0.000462739927673637;-5.806995679068948e-05;0.0003342920621141345;-0.0003553726744900302;0.0009502661700445202;0.00021506428694596222;-0.0012427206616306907;-0.0001534241882281159;0.0018957826507008185;0.003430550269346341;0.0019986079156617573;0.0017282017107518263;0.003296274844703507;-0.00031881387089999815;-0.0009901594659899248;0.0011859467885545192;-0.00016909153915615916;-0.0006956631726054426;0.0016688627916885519;0.0009225033693614769;-2.5731777938717905e-05;0.0009207753510087587;0.0023933576238811287;0.007932308595793046;-0.0003764625997118812;0.004247072322367824;0.0014109112460931057;0.0003302884377072968;0.0049947910312430465;0.002619310173957557;0.020147370351841373;-0.0005090497749873922;0.006953933927665874;0.01233756163955125;0.00031165824415131557;3.572686223919724e-05;0.006446493554244216;0.0006127991820651342;-0.00032861188817002703;0.003231855155811371;0.00179494001927751;0.0020301608509687872;-9.816476857567801e-05;0.00491617883451067;0.007175950849981509;-0.000624177448730222;0.02158748792798071;0.005450074662311849;0.0021311449386099716;0.0032294343427450847;0.014795789063273819;0.010154171914136886;0.27404110874113785;0.035449513725411545;0.003366593903830669;0.003526670901537775;0.0032145920834075;0.003006761080909071;0.0031693607628123922;0.0049572101538972535;0.001953942144974623;0.0019531260125407236;0.0016169767102486771;0.0004908125787963716;0.001356589771709164;-0.000899688335706426;-0.0003786150654050562;1.421472583222827e-05;0.005161199521511237;0.020697233552146924;0.05529098139825639
art09inc10;0.002187727523526173;0.027249081399016044;0.20253908593394085;0.032999517936757025;0.12741777485452757;0.02383079324371084;0.12237306282912093;0.05343937353065465;1.0;0.20253924931474931;0.03300031890532262;0.12741796456608886;0.023834108991722794;0.12237881167970402;0.05343935204470168;0.9999999616337354;0.07669701708880501;0.028896246751905396;0.0895064640274731;0.031935539936582866;0.03507576349299779;-0.0008509458524498805;0.059849952857078025;0.10003155123110119;0.0490724946611176;0.09937568637756311;0.03872273897607653;0.0427043067183988;-0.0003892981878543096;0.041992879195627116;0.12654568318325543;0.03109477975402451;0.0746704705361443;0.14746201254368096;0.039797677936596366;0.01970625953844625;0.1324492823708304;0.06933980153919758;0.022511392933820398;0.07926403274974667;0.01848821287511275;0.05195989261980304;0.002671658175360077;0.022674834790017487;0.07179657836155236;0.0333467069503144;0.07909361083676984;0.014011148771843474;0.051558853649855296;0.0013326488543920654;0.010238650098765548;0.08721663501052389;0.04434563284762478;0.09009430672685527;0.04059592488801384;0.025169600214655027;0.002335449848257827;0.021012341240216243;0.07467588928554525;0.044377421729854115;0.07319499139990923;0.012585488527149791;0.03897040159948646;-0.0004778879712972558;0.022285956538946355;0.06237158897833053;0.020763638078958657;0.07420959401878095;0.04817801106350711;0.04035607137301478;0.009773040715169204;0.009386921426351315;0.07382488932563132;0.03275749942376993;0.07328482702751114;0.009204083549715518;0.038692872051622945;-0.00018576520082903576;0.0563442123233713;0.08002784138758774;0.045573397753264924;0.07394378869193287;0.03456716685789148;0.036950864634295456;0.0021495261013045252;0.015268011412383809;0.07595083329333895;0.054611526078302525;0.06402313407356794;0.01365904644672875;0.04992947064760363;-0.0007912307968407072;0.009114184211433207;0.0829843399011718;0.043698254625361296;0.08681933548106516;0.031197404296640786;0.03294563641532669;0.002580650936978586;0.006157874398898441;0.1790079969468666;0.08179714212072393;0.13574862266040907;0.07731662176840726;0.37991363280420837;0.12097983964404618;0.01664104465466645;0.11431925215454647;0.025613327878113417;0.026947624234171897;0.02742242697774551;0.02244866148323821;0.023750016309797527;0.03928750741341374;0.01721806450451808;0.017400388412139672;0.018149919907610106;0.0009739156390381081;-0.00023333083056312586;0.002738678350667689;0.014643835852719526;0.0004327336177353046;0.007433961206142591;0.17696578075314692;0.05195068856336959
naf10art11;0.035298986089228324;0.07048824997292848;0.9999999998714824;0.8197773252041601;0.6258141814438397;0.1843057597303881;0.3974260950136865;0.056329374467015844;0.20253924931474931;1.0;0.8197788626426007;0.6258147502647929;0.18431854945402787;0.39744325593936347;0.05632967108241279;0.2024720777964471;0.2268556509470596;0.08533926895903893;0.2924097023743081;0.13317712260228476;0.15555674257206503;-0.0006333551556643485;0.041975829955791674;0.33588098213841017;0.19444772649216002;0.3392796621045828;0.11222423373772113;0.1460323152441314;-0.0006103699702779958;0.043932450693179775;0.2372296356230224;0.10178501969345316;0.2939426137659195;0.10640378465598892;0.13519674892868744;0.023929933372235302;0.032270268522362505;0.27034886539751524;0.10983807609987813;0.3051158917474398;0.09000004086403013;0.15678782540148806;0.010935409164706313;0.05850018770074409;0.4140050140073942;0.36245434767678464;0.2961649167062841;0.07199400928015429;0.18846244579019586;-0.0003417172159444668;0.021895466850178538;0.27009206340785263;0.13306582340915035;0.2806851413807167;0.1287014125282295;0.15786001468891273;0.002851456760812007;0.03448134121661677;0.2479276600931864;0.12873780907566318;0.26279681517281256;0.08206360792685301;0.14361522267308002;0.006789412137777344;0.03180521095490792;0.24067790244150233;0.12273114979013632;0.25341300779976816;0.12139648581283384;0.15099833577495497;0.01784477000233127;0.020803240995605876;0.21236951682630492;0.10240420487325816;0.23742800045117535;0.05394296011276352;0.11659363276378647;0.011743472504970428;0.020176882122383607;0.37909808538924866;0.34595297656890367;0.27680086947054056;0.06016440898159126;0.09837685715860331;0.0026324109962356916;0.03999962779768134;0.25503674923177605;0.1472397270509456;0.24728717304375294;0.07690969874461842;0.11363650368992571;0.0078026962790992;0.027941123751319335;0.2789104828171458;0.1569636059466262;0.2754702937209869;0.10433103439359757;0.13011231201934964;0.007361255859962773;0.020716396532089332;0.692250565007349;0.675520603743902;0.5204877304601826;0.28144599972117035;0.1394384599800551;0.41423249999127676;0.029326956947376807;0.30048167536958204;0.13812429998007347;0.14308559356021108;0.09096927812928031;0.12535142719135747;0.13141094901331157;0.18804311193391088;0.09778533098580137;0.09931547621973644;0.11326066994539825;0.0032492744028451335;-0.0010872146671612357;0.010158478990992887;0.13212220525414933;0.002190159601687047;0.05143015882958609;0.6803610164765275;0.1448781545476153
