;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;ratio_act_hab;ratio_act_mix;ratio_rou_fer;artif_total;artif_par_hab
art22act23;1.0;0.19005770832737562;0.05545525242170029;0.16234784698521998;0.015456425765545227;0.0335233526949055;0.2558224681025745;0.5014189011711132;0.3811997785574028;0.11386403750788164
art22hab23;0.19005770832737562;1.0;0.1261449486875698;0.21680667880417592;0.04684209706152059;-0.007083116902083889;-0.009634911149402578;0.29749104491733536;0.5749962175495938;0.06999483144323718
art22mix23;0.05545525242170029;0.1261449486875698;1.0;0.07823003568511472;0.00021219074451780452;-0.00037625131124356177;-0.026547795669453686;-0.04587772858257389;0.15772248383709903;0.0025014094562364675
art22rou23;0.16234784698521998;0.21680667880417592;0.07823003568511472;1.0;0.03712426324095592;0.009214784022183061;0.10994518832804286;0.24718226677636077;0.2346533070108567;0.1338172028050522
art22fer23;0.015456425765545227;0.04684209706152059;0.00021219074451780452;0.03712426324095592;1.0;-2.588355459649382e-06;0.10101171790304025;-0.11774649842564193;0.034680201614312754;0.013617854836170347
ratio_act_hab;0.0335233526949055;-0.007083116902083889;-0.00037625131124356177;0.009214784022183061;-2.588355459649382e-06;1.0;0.3391325731248631;-0.04222013069701549;0.007217510362095493;0.0076464782240879235
ratio_act_mix;0.2558224681025745;-0.009634911149402578;-0.026547795669453686;0.10994518832804286;0.10101171790304025;0.3391325731248631;1.0;-0.16554879013994972;0.02433275685389706;-0.008936406551868371
ratio_rou_fer;0.5014189011711132;0.29749104491733536;-0.04587772858257389;0.24718226677636077;-0.11774649842564193;-0.04222013069701549;-0.16554879013994972;1.0;0.4115723608453484;0.041951412914067954
artif_total;0.3811997785574028;0.5749962175495938;0.15772248383709903;0.2346533070108567;0.034680201614312754;0.007217510362095493;0.02433275685389706;0.4115723608453484;1.0;0.19539773499045768
artif_par_hab;0.11386403750788164;0.06999483144323718;0.0025014094562364675;0.1338172028050522;0.013617854836170347;0.0076464782240879235;-0.008936406551868371;0.041951412914067954;0.19539773499045768;1.0
