;pop14;pop20;pop1420;men14;men20;men1420;emp14;emp20;emp1420;densite_pop;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;ratio_act_hab;ratio_act_mix;ratio_rou_fer;artif_total;artif_par_hab
pop14;1.0;0.999287278274825;-0.27453144359659065;0.9973419115302949;0.9978125508282999;0.2569496631930852;0.9688216619189862;0.9693782707450781;0.821532124905806;0.40337058885799404;0.08421585716861509;0.1401775293152579;0.054401469219202525;0.06481019157786672;0.0019358517323567065;0.0017311222469769925;0.00010798596628515412;-0.02591320188689075;0.23294078455975;-0.03951675785797084
pop20;0.999287278274825;1.0;-0.23803782273655327;0.9955928003492769;0.9974251853144591;0.29186691426638584;0.9625490906118244;0.9637510255151638;0.8295713993047112;0.41147683574314736;0.08860577603566645;0.1469145142325999;0.0568940919456758;0.06841203862291555;0.00203862376546749;0.0016747805226165955;6.632315389724615e-05;-0.010480148392270112;0.243062977849106;-0.04044486022331847
pop1420;-0.27453144359659065;-0.23803782273655327;1.0;-0.3002503402684781;-0.2656827040986641;0.8235854985594935;-0.40816635770466825;-0.3918704073183432;-0.005833436109335065;0.10307916115339187;0.09023525023030858;0.13567578126532054;0.04954835355234446;0.07513552558879175;0.0021216475486201944;-0.00024348034641104077;-0.0009063909027252541;0.26785643513666985;0.19812628800525403;-0.013510682595464396
men14;0.9973419115302949;0.9955928003492769;-0.3002503402684781;1.0;0.9992959141108945;0.2271101727070066;0.9795116514031733;0.9803204252851515;0.8356613157454964;0.3777279523858209;0.07902132703105468;0.12835322153479142;0.05086856632978569;0.06101372959924801;0.0015852762912299198;0.0012944186159194423;-0.0006391750437476114;-0.03140705011093958;0.21090622860105793;-0.03550362893726764
men20;0.9978125508282999;0.9974251853144591;-0.2656827040986641;0.9992959141108945;1.0;0.2634888387694568;0.9738933762016018;0.9753190174795238;0.8436618534761603;0.38564550131535197;0.08374576806683834;0.1361739866438768;0.05378804687325549;0.06496000851106688;0.00170747880968745;0.0012712375031064698;-0.0004160127162228967;-0.011956782781318901;0.22270502954116797;-0.03665336604123533
men1420;0.2569496631930852;0.29186691426638584;0.8235854985594935;0.2271101727070066;0.2634888387694568;1.0;0.0945278732667053;0.11073819010962502;0.41272851165761154;0.2982033010185344;0.14201670234393146;0.23448595564817773;0.08826076527466292;0.11740268096260913;0.003575274059159925;0.0007096485789922719;0.003064497284513852;0.24200720684126786;0.35800323287320207;-0.038555848989819064
emp14;0.9688216619189862;0.9625490906118244;-0.40816635770466825;0.9795116514031733;0.9738933762016018;0.0945278732667053;1.0;0.9996299623719258;0.8285266714727959;0.32699765946804377;0.0648207484745312;0.09025607824196162;0.03803942512408616;0.048465453898285646;0.0009129044484502188;0.0014155185062367896;-0.002157837323389627;-0.0444632891577581;0.1592617195154919;-0.02509896359304338
emp20;0.9693782707450781;0.9637510255151638;-0.3918704073183432;0.9803204252851515;0.9753190174795238;0.11073819010962502;0.9996299623719258;1.0;0.8434517266296823;0.32615891474117203;0.06711727056630291;0.09251371064575636;0.04004364909857733;0.05028479375882427;0.0008470712141846902;0.0014521714424746248;-0.0019364557652201337;-0.035712555528062184;0.16284000535502177;-0.024501720306953724
emp1420;0.821532124905806;0.8295713993047112;-0.005833436109335065;0.8356613157454964;0.8436618534761603;0.41272851165761154;0.8285266714727959;0.8434517266296823;1.0;0.25615152639122635;0.10147341403081055;0.12194046510599482;0.07306341286352892;0.07797523107637404;-0.0005918585933874318;0.0015654929898811568;0.0007946453370628782;0.13055734157686474;0.20682478131500837;-0.008692087627376766
densite_pop;0.40337058885799404;0.41147683574314736;0.10307916115339187;0.3777279523858209;0.38564550131535197;0.2982033010185344;0.32699765946804377;0.32615891474117203;0.25615152639122635;1.0;0.030187410761516306;0.0360109938611013;0.016884426331199787;0.03320869624897745;0.00017221063118821355;0.003776049917096869;0.007235659527173325;-0.038254656691683715;0.08721654869503817;-0.07960199847855128
art22act23;0.08421585716861509;0.08860577603566645;0.09023525023030858;0.07902132703105468;0.08374576806683834;0.14201670234393146;0.0648207484745312;0.06711727056630291;0.10147341403081055;0.030187410761516306;1.0;0.19005770832737562;0.05545525242170029;0.16234784698521998;0.015456425765545227;0.0335233526949055;0.2558224681025745;0.5014189011711132;0.3811997785574028;0.11386403750788164
