AAV;AAV2020;nom_aire_urbaine;categorie_taille;detail_taille;nombre_communes;categorie_desc;conso_enaf_total;conso_infra_total;conso_totale;evol_pop;pop14;pop20;surfcom2023;conso_act;conso_hab;conso_mix;conso_rou;conso_fer;conso_inc;densite_pop;taux_evol_pop;conso_enaf_par_hab;conso_par_nouvel_hab;coef_artif;part_act;part_hab;part_mix;part_rou;part_fer;part_inc;typologie
000;000;Commune hors attraction des villes;0;0;8921;Hors attraction;35226174;1217874;36444048;26330;7209669;7235999;257695331618;8431320;24535102;633200;1118103;99771;1626552;28.07966661470776;0.3652040058981903;4.868183923187385;1337.8721610330422;0.0001414230043329756;23.1349711755401;67.32265855867603;1.7374579245423012;3.0679989226224267;0.2737648682714939;4.463148550347645;Dense, Faible conso, Croissance modérée
001;001;Paris;5;50;1929;Métropole;8497989;488609;8986598;252906;12872236;13125142;19036599616;3341187;4511280;294419;486114;2495;351103;689.4688266158888;1.9647402362728588;0.6474588236835838;33.601373632891274;0.00047206949672077403;37.17966465174029;50.20008684042615;3.2762008493091606;5.409321747784868;0.027763565255728585;3.906962345483797;Dense, Faible conso, Croissance modérée
002;002;Lyon;4;42;397;Très grande;3213648;190737;3404385;109968;2183212;2293180;4621017179;857690;1966622;74060;174503;16234;315276;496.2500486735368;5.036982207866208;1.4013936978344483;29.223483195111307;0.0007367176680214631;25.193684028099057;57.767320676127994;2.1754296297275424;5.125830362899613;0.4768555847825672;9.260879718363228;Dense, Faible conso, Croissance modérée
003;003;Marseille - Aix-en-Provence;4;42;115;Très grande;3362081;128105;3490186;44674;1834927;1879601;3970639832;1066000;2092472;63906;127489;616;139703;473.3748412162708;2.434647263896602;1.7887205848475287;75.25811433943682;0.0008789983850643042;30.542784825794385;59.953022560975256;1.831019894068683;3.6527852670316134;0.01764948916762602;4.002737962962433;Dense, Faible conso, Croissance modérée
004;004;Lille (partie française);4;42;201;Très grande;1637994;54373;1692367;28058;1487003;1515061;1677285499;489150;1130817;12871;52107;2266;5156;903.2815229746406;1.8868825415954102;1.0811406273410773;58.378858079692066;0.0010089916123456571;28.90330525234775;66.81866285504267;0.760532437704115;3.0789420970746892;0.13389530757808443;0.3046620502526934;Dense, Faible conso, Croissance modérée
005;005;Toulouse;4;42;527;Très grande;6301681;316054;6617735;105658;1365241;1470899;6570034612;1619913;4454547;138195;316054;0;89026;223.8799468899967;7.739146421767293;4.284237734881865;59.64225141494255;0.001007260294780316;24.47836004312654;67.31226016152053;2.0882522494478852;4.775863645189782;0.0;1.345263900715275;Dense, Faible conso, Croissance modérée
006;006;Bordeaux;4;42;275;Très grande;3478368;132476;3610844;107060;1269315;1376375;6398625157;1010812;2418068;21488;131213;1263;28000;215.1048023956;8.43447056089308;2.5271949868313506;32.489893517653655;0.0005643156008365001;27.99378760201216;66.96683656231063;0.5950963265098131;3.63385956302737;0.034977971909060594;0.7754419742309554;Dense, Faible conso, Croissance modérée
008;008;Nantes;4;41;116;Très grande;2005484;107189;2112673;78904;943871;1022775;3542032732;533213;1355089;8552;107189;0;108630;288.75368393969995;8.359616939179189;1.9608261836669845;25.416759606610565;0.0005964577856419426;25.238785178775892;64.14097212393968;0.4047952522704649;5.07362000650361;0.0;5.141827438510361;Dense, Faible conso, Croissance modérée
010;010;Strasbourg (partie française);4;41;268;Très grande;1533768;128900;1662668;35786;824958;860744;2248831119;756976;677049;24290;128900;0;75453;382.7517294330006;4.337917809149071;1.781909603784633;42.859442239982116;0.0007393476486306129;45.52779027442641;40.72063695217566;1.4609050032838788;7.752600038011197;0.0;4.538067732102862;Dense, Faible conso, Croissance modérée
012;012;Montpellier;4;41;161;Très grande;1185081;25160;1210241;67647;745625;813272;2519726172;251678;880953;25981;20916;4244;26469;322.7620560667812;9.0725230511316;1.4571766887339046;17.51860392922081;0.000480306556104621;20.795692758715;72.79153490916272;2.1467625043276506;1.7282508194648833;0.35067395667474494;2.187085051655001;Dense, Faible conso, Croissance modérée
013;013;Rennes;4;41;183;Très grande;3441122;273583;3714705;47872;715877;763749;3834189501;660547;2590167;27521;273583;0;162887;199.19437988153837;6.687182295282569;4.505566619399829;71.88172627005348;0.0009688370903501673;17.78195038367784;69.72739423453544;0.7408663675850438;7.36486477391879;0.0;4.384924240282876;Dense, Faible conso, Croissance modérée
014;014;Grenoble;4;41;204;Très grande;986719;39185;1025904;9221;710860;720081;2921955692;155156;734905;82222;39185;0;14436;246.4380284654912;1.2971611850434686;1.3702888980545245;107.0078082637458;0.00035110183320329416;15.123832249411251;71.63487031925014;8.014590059108844;3.819558165286421;0.0;1.4071492069433398;Dense, Faible conso, Croissance modérée
015;015;Rouen;3;34;317;Grande;2102649;253595;2356244;12012;696277;708289;2802478705;328047;1631580;65691;253595;0;77331;252.73662159727277;1.7251754689584748;2.968631448462421;175.0457042957043;0.0008407714198848836;13.922454550547398;69.24495086247434;2.787954048901557;10.76267992618761;0.0;3.281960611889091;Dense, Faible conso, Croissance modérée
017;017;Nice;3;34;100;Grande;498406;31013;529419;13484;605005;618489;2067377395;60441;426736;10694;31013;0;535;299.16598754336286;2.228741911223874;0.8058445663544541;36.96277069118956;0.00025608241692127044;11.416477308143454;80.60458729286255;2.0199501717920967;5.857931052720057;0.0;0.10105417448183765;Dense, Faible conso, Croissance modérée
018;018;Toulon;3;34;35;Grande;1719152;29961;1749113;25911;550737;576648;1014138879;202339;1485591;22579;29961;0;8643;568.6085130358167;4.704786495187358;2.9812849433276454;66.34834626220524;0.0017247272895451235;11.568091941458327;84.93396367187255;1.2908828646291006;1.7129253513066336;0.0;0.49413617073339455;Dense, Faible conso, Croissance modérée
019;019;Tours;3;34;162;Grande;2757604;231174;2988778;10771;511546;522317;3642902646;558770;2027583;19541;165228;65946;151710;143.37934629505332;2.105577992985968;5.279560113877205;256.0211679509795;0.000820438614598102;18.695600676932177;67.83986632663918;0.6538123607708568;5.528279450665121;2.206453607460976;5.075987577531687;Dense, Faible conso, Croissance modérée
020;020;Nancy;3;34;353;Grande;584833;70499;655332;-1577;510524;508947;3140617631;186335;306909;3559;70499;0;88030;162.05315635254422;-0.3088983084046979;1.1491039342014002;-370.85161699429295;0.0002086634149701747;28.433679417455583;46.832597828276356;0.5430835057650167;10.75775332198031;0.0;13.432885926522738;Dense, Faible conso, Croissance modérée
022;022;Clermont-Ferrand;3;33;209;Grande;1042457;119754;1162211;18937;489017;507954;2859871781;161392;797869;13962;119754;0;69234;177.61425647634655;3.8724625115282287;2.052266543820897;55.048687754132125;0.0004063857015273651;13.886635043034353;68.65095924922412;1.2013309115126256;10.303980946661149;0.0;5.957093849567763;Dense, Faible conso, Croissance modérée
023;023;Saint-Étienne;3;33;105;Grande;1730966;113025;1843991;9490;491361;500851;1641919854;743509;936240;18988;113025;0;32229;305.03985854111;1.9313702145672937;3.4560498032348943;182.39894625922022;0.0011230700423700462;40.32064147818509;50.772482078274784;1.029723030101557;6.12936831036594;0.0;1.7477851030726288;Dense, Faible conso, Croissance modérée
024;024;Caen;3;33;296;Grande;2608902;175105;2784007;14687;460457;475144;2617607744;667053;1808586;66157;175105;0;67106;181.51841164479686;3.189657231837066;5.490760695704881;177.63341730782324;0.0010635692098563717;23.960176824268043;64.9634142442889;2.376323048038313;6.289675277396932;0.0;2.4104106060078156;Dense, Faible conso, Croissance modérée
025;025;Orléans;3;33;136;Grande;1807746;52871;1860617;15472;438736;454208;3440126584;400118;1319789;56725;52871;0;31114;132.03235081886743;3.526494292695379;3.979995948992532;116.83983971044468;0.0005408571325990486;21.504586919285376;70.93286796799127;3.0487198601324184;2.8415842701641445;0.0;1.672240982426797;Dense, Faible conso, Croissance modérée
026;026;Angers;3;33;81;Grande;1332924;54797;1387721;15770;421790;437560;2448703057;293720;1007294;16416;54797;0;15494;178.69051077841652;3.7388273785533084;3.0462656549958864;84.52276474318326;0.0005667167344088467;21.165637761480873;72.58620428746124;1.1829467162347476;3.9487043865445575;0.0;1.1165068482785805;Dense, Faible conso, Croissance modérée
028;028;Dijon;3;33;333;Grande;841320;96935;938255;8159;405837;413996;3905589386;496393;320181;12538;96935;0;12208;106.00090257414479;2.0104130476028557;2.0321935477637467;103.11557788944724;0.0002402339076819685;52.90597971766737;34.125157872859724;1.3363104912843524;10.331413101981871;0.0;1.3011388162066815;Dense, Faible conso, Croissance modérée
029;029;Mulhouse;3;33;132;Grande;649848;21396;671244;125;409883;410008;1226771701;266943;382236;667;21396;0;2;334.21703456786867;0.030496507539956526;1.5849641958205694;5198.784;0.0005471629313366432;39.76840016447075;56.94441961492394;0.09936774108967826;3.1875145252694996;0.0;0.0002979542461459618;Dense, Faible conso, Croissance modérée
030;030;Perpignan;3;33;118;Grande;1816104;123625;1939729;17063;401041;418104;1825732324;201842;1329634;75811;123542;83;208817;229.0061880944164;4.254677202580285;4.3436656908329025;106.43521068979663;0.001062438876992792;10.405680381125403;68.54741048878478;3.908329462517702;6.369034024856049;0.004278948244832139;10.765266694471238;Dense, Faible conso, Croissance modérée
031;031;Cannes - Antibes;3;32;24;Grande;453876;18246;472122;-207;393439;393232;440728153;50178;385049;18649;18246;0;0;892.2325413597982;-0.05261298447789873;1.1542193921145787;-2192.6376811594205;0.001071231771300074;10.628185087752742;81.55709752987576;3.950038337548346;3.8646790448231596;0.0;0.0;Dense, Faible conso, Croissance modérée
032;032;Brest;3;32;68;Grande;963614;62742;1026356;8318;365490;373808;1274204230;144728;805069;10663;62742;0;3154;293.3658445004534;2.275848860433938;2.577831400077045;115.84683818225535;0.0008054878298434153;14.101150088273465;78.43954729158304;1.0389182700739314;6.113083569443741;0.0;0.3073007806258257;Dense, Faible conso, Croissance modérée
033;033;Metz;3;32;245;Grande;517889;49239;567128;9031;364790;373821;1879713668;158557;343466;10076;49239;0;5790;198.87124638389338;2.4756709339620055;1.3853930089534832;57.34569815081387;0.0003017097814708235;27.957886050415425;60.56234218730163;1.7766712276593644;8.682166988757388;0.0;1.020933545866189;Dense, Faible conso, Croissance modérée
034;034;Le Mans;3;32;144;Grande;1019116;35313;1054429;3994;365982;369976;2350176237;357507;647055;12413;34876;437;2141;157.42478975630965;1.0913105016093687;2.7545462408372434;255.1617426139209;0.0004486595445054702;33.905270056115675;61.36544044217297;1.177224829741974;3.3075721551664454;0.04144423190181605;0.2030482849011171;Dense, Faible conso, Croissance modérée
035;035;Amiens;3;32;369;Grande;803466;52705;856171;2902;351315;354217;3095470479;301171;468540;17426;52705;0;16329;114.43074724926169;0.8260393094516318;2.268287518667935;276.8662991040662;0.0002765883266561109;35.17650095600061;54.725049084820675;2.035341070884204;6.15589642723241;0.0;1.9072124610621009;Dense, Faible conso, Croissance modérée
036;036;Reims;3;32;294;Grande;840839;262979;1103818;4520;351097;355617;3264547994;265782;471923;84913;262979;0;18221;108.93299796896783;1.2873935123341982;2.3644510807975996;186.02632743362832;0.0003381227667746765;24.078425972397625;42.7536967144946;7.692663102069362;23.824489182093426;0.0;1.6507250289449893;Dense, Faible conso, Croissance modérée
037;037;Nîmes;3;32;92;Grande;934710;49658;984368;6466;340567;347033;1472594789;219309;673777;6744;34487;15171;34880;235.6608909608195;1.898598513655169;2.6934326130368005;144.55768635941848;0.0006684581579080952;22.279167953448304;68.4476740406027;0.6851096337954912;3.5034661833785736;1.5411919119678819;3.543390276807048;Dense, Faible conso, Croissance modérée
038;038;Valenciennes (partie française);3;32;102;Grande;354426;49911;404337;-14;337307;337293;727149944;96793;232520;1233;49911;0;23880;463.8561864483895;-0.004150521631629347;1.050795599078546;-25316.14285714286;0.0005560572524777641;23.938694702686124;57.50648592634362;0.3049436484912338;12.343911143427388;0.0;5.905964579051632;Dense, Faible conso, Croissance modérée
039;039;Le Havre;3;32;116;Grande;495222;14381;509603;-4621;338435;333814;1020407879;87088;404442;1691;14381;0;2001;327.13781113405145;-1.3654025145153428;1.4835267544201263;-107.16771261631682;0.0004994110791259384;17.089381341946574;79.36413247174762;0.33182693194506313;2.8220006554121544;0.0;0.3926585989485933;Dense, Faible conso, Croissance modérée
040;040;Avignon;3;32;48;Grande;664118;21424;685542;6931;330108;337039;957254526;169334;450481;15986;21424;0;28317;352.08922062594667;2.099615883286682;1.9704485237613452;95.81849660943587;0.0007161543574670965;24.700747729533713;65.71165588687491;2.3318775509013308;3.125118519361323;0.0;4.130600313328723;Dense, Faible conso, Croissance modérée
041;041;Limoges;3;32;127;Grande;1351454;22743;1374197;-1975;325131;323156;3427477570;265492;1064684;16453;22743;0;4825;94.28391386963912;-0.6074474596393453;4.18204829865452;-684.2805063291139;0.0004009353735902056;19.31979184934911;77.47681009345821;1.1972810303035155;1.6550028853213914;0.0;0.3511141415677665;Dense, Faible conso, Croissance modérée
042;042;Lens - Liévin;3;32;50;Grande;513747;24432;538179;-143;321362;321219;350943297;288162;193938;0;24432;0;31647;915.3017104070805;-0.04449810494084552;1.5993667871452186;-3592.6363636363635;0.0015335212400423763;53.54389524674876;36.035965728874594;0.0;4.539753502087596;0.0;5.880385522289052;Dense, Faible conso, Croissance modérée
043;043;Annecy;3;31;79;Grande;620713;14331;635044;18843;277895;296738;1225004571;83195;523049;13467;14331;0;1002;242.23419816120835;6.78061857895968;2.0917880419764234;32.941304463195884;0.0005184013309285847;13.10066704039405;82.36421413319393;2.120640459558708;2.2566940243510683;0.0;0.15778434250225182;Dense, Faible conso, Croissance modérée
044;044;Pau;3;31;227;Grande;1172450;23689;1196139;3481;277187;280668;2181767966;129744;1007971;15694;23689;0;19041;128.64246078127633;1.2558309011605884;4.177355451993102;336.8141338695777;0.0005482429931322954;10.846899900429632;84.26871793328368;1.3120548698771632;1.980455448739653;0.0;1.5918718476698779;Dense, Faible conso, Croissance modérée
045;045;Besançon;3;31;310;Grande;783815;27084;810899;5918;275692;281610;2521436261;201402;533827;27029;27084;0;21557;111.68634494385897;2.1465983778999753;2.7833351088384646;132.4459276782697;0.00032160202204690986;24.836878575506937;65.83150306018382;3.3332141240771045;3.339996719690122;0.0;2.6584075205420157;Dense, Faible conso, Croissance modérée
046;046;Poitiers;3;31;97;Grande;1050854;206877;1257731;8536;272484;281020;2602845614;193527;804608;13504;70136;136741;39215;107.96644967664226;3.1326610002789157;3.7394277987331863;123.1084817244611;0.0004832138307531597;15.386994516315491;63.97297991382895;1.0736795069851979;5.5763911361014395;10.87203861557042;3.1179163111984995;Dense, Faible conso, Croissance modérée
047;047;Bayonne (partie française);3;31;56;Grande;1141227;36223;1177450;21836;258393;280229;1157782476;376039;707132;19718;36205;18;38338;242.03942088340952;8.45069332373555;4.0724800074225005;52.26355559626305;0.0010169872358648483;31.93672767421122;60.056223194190835;1.674635865641853;3.0748651747420275;0.001528727334494034;3.2560193638795707;Dense, Faible conso, Croissance modérée
048;048;Dunkerque;3;31;66;Grande;722693;71079;793772;-6969;265839;258870;887539910;457500;264397;796;71079;0;0;291.67139086736955;-2.62151151636893;2.7917217136014214;-103.701104893098;0.0008943507678432173;57.636197799872;33.30893505943772;0.10028068513376637;8.954586455556507;0.0;0.0;Dense, Faible conso, Croissance modérée
049;049;Valence;3;31;71;Grande;933054;32893;965947;9253;246497;255750;1234243605;313193;583136;32457;32893;0;4268;207.21193041952202;3.7537982206679996;3.6483049853372433;100.8379984869772;0.0007826226492783813;32.423414535166;60.3693577390892;3.3601222427317436;3.40525929476462;0.0;0.44184618824842353;Dense, Faible conso, Croissance modérée
050;050;Chambéry;3;31;115;Grande;513415;29463;542878;11778;247017;258795;1170602348;49653;449328;13251;29463;0;1183;221.0784904388386;4.768092884295413;1.9838675399447439;43.5910171506198;0.0004637595345059055;9.14625385445717;82.76776734367574;2.4408799030353046;5.427186218634758;0.0;0.21791268019702403;Dense, Faible conso, Croissance modérée
051;051;La Rochelle;3;31;72;Grande;626091;27065;653156;13085;230395;243480;1198393130;63520;553502;7269;27065;0;1800;203.17205923902452;5.6793767225851255;2.5714268112370626;47.84799388612915;0.0005450264889285539;9.725088646510176;84.74269546632046;1.1129041147903411;4.143726766652989;0.0;0.275585005726044;Dense, Faible conso, Croissance modérée
052;052;Quimper;3;31;58;Grande;1198253;106550;1304803;4644;233745;238389;1470185565;298555;891856;7739;106550;0;103;162.1489189359576;1.9867804658923187;5.026460952476834;258.02174849267874;0.0008875090540016287;22.881231879448467;68.35177417587175;0.5931163554958104;8.165983677229436;0.0;0.007893911954524937;Dense, Faible conso, Croissance modérée
053;053;Lorient;3;31;31;Grande;509303;30718;540021;5881;222142;228023;851479665;57784;450033;1412;30718;0;74;267.7961780801894;2.64740571346256;2.233559772479092;86.60142832851555;0.0006342147936087235;10.700324617005636;83.33620359208253;0.26147131315263666;5.688297306956581;0.0;0.013703170802616935;Dense, Faible conso, Croissance modérée
054;054;Troyes;3;31;209;Grande;428791;8542;437333;5564;215745;221309;2809935098;95752;324216;728;8542;0;8095;78.75947033706186;2.5789705439291755;1.9375217456135991;77.06524083393242;0.00015563811431490933;21.894528883025064;74.13481260275351;0.16646354151184567;1.9532027082337717;0.0;1.8509922644758112;Dense, Faible conso, Croissance modérée
055;055;Saint-Nazaire;3;31;24;Grande;573134;19970;593104;10815;207129;217944;781823099;186786;377111;1873;19970;0;7364;278.7638281329419;5.221383775328419;2.6297305729912273;52.99435968562182;0.0007586166240913278;31.49295907631714;63.58260945803771;0.3157962178639834;3.3670317515983705;0.0;1.2416034961827944;Dense, Faible conso, Croissance modérée
056;056;Saint-Brieuc;3;31;51;Grande;1159242;46668;1205910;2610;199419;202029;1071049071;157852;996890;4157;46668;0;343;188.62721183388246;1.3088020700133889;5.737998010186656;444.15402298850574;0.001125914799472339;13.089865744541468;82.66703153635014;0.34471892595633175;3.869940542826579;0.0;0.028443250325480344;Dense, Faible conso, Croissance modérée
057;057;Vannes;2;25;47;Moyenne;747085;81236;828321;10454;195041;205495;1196569351;97710;615134;32966;81236;0;1275;171.73680725506063;5.359898687968171;3.635538577580963;71.46403290606466;0.0006922465457666566;11.796151491994046;74.26275562251833;3.9798580502003453;9.80730900218635;0.0;0.1539258331009355;Dense, Faible conso, Croissance modérée
058;058;Colmar;2;25;95;Moyenne;220367;18410;238777;2259;197355;199614;1106452652;67958;137684;11653;18339;71;3072;180.40898509229658;1.1446378353728055;1.1039656537116636;97.55068614431164;0.0002158040830471976;28.460865158704568;57.662170142015356;4.88028578966986;7.680387977066467;0.02973485720986527;1.286556075333889;Dense, Faible conso, Croissance modérée
059;059;Douai;2;25;61;Moyenne;331130;33281;364411;-1064;199184;198120;381006930;141821;178717;1543;33281;0;9049;519.9905419043165;-0.5341794521648324;1.6713607914395316;-311.2124060150376;0.0009564419208857959;38.91787020699156;49.042701784523516;0.42342300314754494;9.132819810598471;0.0;2.4831851947389074;Dense, Faible conso, Croissance modérée
060;060;Béziers;2;25;53;Moyenne;784077;45450;829527;9711;188543;198254;933965816;94675;579436;84847;45450;0;25119;212.27115233091143;5.150549211585686;3.954911376315232;80.74111831943158;0.0008881770465140878;11.413130615398897;69.85137313191736;10.228359052809614;5.479025999153735;0.0;3.0281112007204105;Dense, Faible conso, Croissance modérée
