CODGEO,AAV2020,LIBAAV2020,CATEAAV2020
01001,524,Châtillon-sur-Chalaronne,20
01002,000,Commune hors attraction des villes,30
01004,243,Ambérieu-en-Bugey,11
01005,002,Lyon,20
01006,286,Belley,20
01007,243,Ambérieu-en-Bugey,20
01008,243,Ambérieu-en-Bugey,20
01009,286,Belley,20
01010,000,Commune hors attraction des villes,30
01011,168,Oyonnax,20
01012,572,Plateau d'Hauteville,20
01013,243,Ambérieu-en-Bugey,20
01014,168,Oyonnax,20
01015,286,Belley,20
01016,084,Mâcon,20
01017,000,Commune hors attraction des villes,30
01019,000,Commune hors attraction des villes,30
01021,002,Lyon,20
01022,286,Belley,20
01023,084,Mâcon,20
01024,080,Bourg-en-Bresse,20
01025,084,Mâcon,20
01026,084,Mâcon,20
01027,002,Lyon,20
01028,000,Commune hors attraction des villes,30
01029,080,Bourg-en-Bresse,20
01030,002,Lyon,20
01031,168,Oyonnax,12
01032,002,Lyon,20
01033,GEN,Genève - Annemasse (partie française),20
01034,286,Belley,11
01035,168,Oyonnax,20
01036,286,Belley,20
01037,000,Commune hors attraction des villes,30
01038,080,Bourg-en-Bresse,20
01040,080,Bourg-en-Bresse,20
01041,243,Ambérieu-en-Bugey,20
01042,084,Mâcon,20
01043,002,Lyon,20
01044,GEN,Genève - Annemasse (partie française),20
01045,002,Lyon,20
01046,000,Commune hors attraction des villes,30
01047,002,Lyon,20
01049,002,Lyon,20
01050,084,Mâcon,20
01051,000,Commune hors attraction des villes,30
01052,002,Lyon,20
01053,080,Bourg-en-Bresse,11
01054,002,Lyon,20
01056,000,Commune hors attraction des villes,30
01057,084,Mâcon,20
01058,000,Commune hors attraction des villes,30
01060,572,Plateau d'Hauteville,20
01061,286,Belley,20
01062,002,Lyon,20
01063,168,Oyonnax,20
01064,000,Commune hors attraction des villes,30
01065,080,Bourg-en-Bresse,20
01066,286,Belley,20
01067,000,Commune hors attraction des villes,30
01068,000,Commune hors attraction des villes,30
01069,080,Bourg-en-Bresse,20
01071,GEN,Genève - Annemasse (partie française),20
01072,080,Bourg-en-Bresse,20
01073,286,Belley,20
01074,002,Lyon,20
01075,002,Lyon,20
01076,000,Commune hors attraction des villes,30
01077,000,Commune hors attraction des villes,30
01078,GEN,Genève - Annemasse (partie française),20
01079,000,Commune hors attraction des villes,30
01080,572,Plateau d'Hauteville,20
01081,000,Commune hors attraction des villes,30
01082,GEN,Genève - Annemasse (partie française),20
01083,000,Commune hors attraction des villes,30
01084,080,Bourg-en-Bresse,20
01085,002,Lyon,20
01087,168,Oyonnax,20
01088,002,Lyon,20
01089,002,Lyon,20
01090,000,Commune hors attraction des villes,30
01092,002,Lyon,20
01093,524,Châtillon-sur-Chalaronne,11
01094,084,Mâcon,20
01095,080,Bourg-en-Bresse,20
01096,080,Bourg-en-Bresse,20
01098,286,Belley,20
01099,002,Lyon,20
01100,286,Belley,20
01101,000,Commune hors attraction des villes,30
01102,084,Mâcon,20
01103,GEN,Genève - Annemasse (partie française),20
01104,000,Commune hors attraction des villes,30
01105,002,Lyon,20
01106,080,Bourg-en-Bresse,20
01107,243,Ambérieu-en-Bugey,20
01108,080,Bourg-en-Bresse,20
01109,GEN,Genève - Annemasse (partie française),20
01110,286,Belley,20
01111,243,Ambérieu-en-Bugey,20
01112,000,Commune hors attraction des villes,30
01113,080,Bourg-en-Bresse,20
01114,GEN,Genève - Annemasse (partie française),20
01115,080,Bourg-en-Bresse,20
01116,286,Belley,20
01117,286,Belley,20
01118,000,Commune hors attraction des villes,30
01121,572,Plateau d'Hauteville,20
01123,084,Mâcon,20
01124,080,Bourg-en-Bresse,20
01125,168,Oyonnax,20
01127,080,Bourg-en-Bresse,20
01128,000,Commune hors attraction des villes,30
01129,002,Lyon,20
01130,080,Bourg-en-Bresse,20
01133,286,Belley,20
01134,084,Mâcon,20
01135,GEN,Genève - Annemasse (partie française),20
01136,084,Mâcon,20
01138,652,Culoz-Béon,11
01139,080,Bourg-en-Bresse,20
01140,080,Bourg-en-Bresse,20
01141,286,Belley,20
01142,002,Lyon,20
01143,GEN,Genève - Annemasse (partie française),20
01145,080,Bourg-en-Bresse,20
01146,524,Châtillon-sur-Chalaronne,20
01147,080,Bourg-en-Bresse,20
01148,168,Oyonnax,20
01149,243,Ambérieu-en-Bugey,20
01150,080,Bourg-en-Bresse,20
01151,080,Bourg-en-Bresse,20
01152,168,Oyonnax,20
01153,GEN,Genève - Annemasse (partie française),20
01155,572,Plateau d'Hauteville,20
01156,002,Lyon,20
01157,002,Lyon,20
01158,GEN,Genève - Annemasse (partie française),20
01159,084,Mâcon,20
01160,GEN,Genève - Annemasse (partie française),20
01162,286,Belley,20
01163,080,Bourg-en-Bresse,20
01165,000,Commune hors attraction des villes,30
01166,002,Lyon,20
01167,084,Mâcon,20
01169,000,Commune hors attraction des villes,30
01170,168,Oyonnax,20
01171,168,Oyonnax,20
01173,GEN,Genève - Annemasse (partie française),20
01174,000,Commune hors attraction des villes,30
01175,084,Mâcon,20
01177,080,Bourg-en-Bresse,20
01179,084,Mâcon,20
01180,GEN,Genève - Annemasse (partie française),20
01181,168,Oyonnax,20
01183,000,Commune hors attraction des villes,30
01184,080,Bourg-en-Bresse,20
01185,572,Plateau d'Hauteville,11
01187,000,Commune hors attraction des villes,30
01188,000,Commune hors attraction des villes,30
01189,GEN,Genève - Annemasse (partie française),20
01190,000,Commune hors attraction des villes,30
01191,000,Commune hors attraction des villes,30
01192,168,Oyonnax,20
01193,000,Commune hors attraction des villes,30
01194,002,Lyon,20
01195,080,Bourg-en-Bresse,20
01196,080,Bourg-en-Bresse,20
01197,080,Bourg-en-Bresse,20
01198,002,Lyon,20
01199,243,Ambérieu-en-Bugey,20
01200,000,Commune hors attraction des villes,30
01202,505,Lagnieu,11
01203,084,Mâcon,20
01204,000,Commune hors attraction des villes,30
01206,000,Commune hors attraction des villes,30
01207,002,Lyon,20
01208,286,Belley,20
01209,GEN,Genève - Annemasse (partie française),20
01210,000,Commune hors attraction des villes,30
01211,080,Bourg-en-Bresse,20
01212,080,Bourg-en-Bresse,20
01213,002,Lyon,20
01214,168,Oyonnax,20
01215,GEN,Genève - Annemasse (partie française),20
01216,000,Commune hors attraction des villes,30
01219,000,Commune hors attraction des villes,30
01224,002,Lyon,20
01225,002,Lyon,20
01227,286,Belley,20
01228,000,Commune hors attraction des villes,30
01229,080,Bourg-en-Bresse,20
01230,080,Bourg-en-Bresse,20
01231,084,Mâcon,20
01232,080,Bourg-en-Bresse,20
01233,000,Commune hors attraction des villes,30
01234,286,Belley,20
01235,002,Lyon,20
01236,080,Bourg-en-Bresse,20
01237,168,Oyonnax,20
01238,002,Lyon,20
01239,286,Belley,20
01240,168,Oyonnax,20
01241,080,Bourg-en-Bresse,20
01242,000,Commune hors attraction des villes,30
01243,002,Lyon,20
01244,002,Lyon,20
01245,080,Bourg-en-Bresse,20
01246,080,Bourg-en-Bresse,20
01247,GEN,Genève - Annemasse (partie française),20
01248,002,Lyon,20
01249,002,Lyon,20
01250,002,Lyon,20
01252,000,Commune hors attraction des villes,30
01254,080,Bourg-en-Bresse,20
01255,000,Commune hors attraction des villes,30
01257,GEN,Genève - Annemasse (partie française),20
01258,000,Commune hors attraction des villes,30
01259,080,Bourg-en-Bresse,20
01260,002,Lyon,20
01261,002,Lyon,20
01262,002,Lyon,20
01263,000,Commune hors attraction des villes,30
01264,080,Bourg-en-Bresse,20
