AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM
000;Commune hors attraction des villes;0;0;8921
001;Paris;5;50;1929
002;Lyon;4;42;397
003;Marseille - Aix-en-Provence;4;42;115
004;Lille (partie française);4;42;201
005;Toulouse;4;42;527
006;Bordeaux;4;42;275
008;Nantes;4;41;116
010;Strasbourg (partie française);4;41;268
012;Montpellier;4;41;161
013;Rennes;4;41;183
014;Grenoble;4;41;204
015;Rouen;3;34;317
017;Nice;3;34;100
018;Toulon;3;34;35
019;Tours;3;34;162
020;Nancy;3;34;353
022;Clermont-Ferrand;3;33;209
023;Saint-Étienne;3;33;105
024;Caen;3;33;296
025;Orléans;3;33;136
026;Angers;3;33;81
028;Dijon;3;33;333
029;Mulhouse;3;33;132
030;Perpignan;3;33;118
031;Cannes - Antibes;3;32;24
032;Brest;3;32;68
033;Metz;3;32;245
034;Le Mans;3;32;144
035;Amiens;3;32;369
036;Reims;3;32;294
037;Nîmes;3;32;92
038;Valenciennes (partie française);3;32;102
039;Le Havre;3;32;116
040;Avignon;3;32;48
041;Limoges;3;32;127
042;Lens - Liévin;3;32;50
043;Annecy;3;31;79
044;Pau;3;31;227
045;Besançon;3;31;310
046;Poitiers;3;31;97
047;Bayonne (partie française);3;31;56
048;Dunkerque;3;31;66
049;Valence;3;31;71
050;Chambéry;3;31;115
051;La Rochelle;3;31;72
052;Quimper;3;31;58
053;Lorient;3;31;31
054;Troyes;3;31;209
055;Saint-Nazaire;3;31;24
056;Saint-Brieuc;3;31;51
057;Vannes;2;25;47
058;Colmar;2;25;95
059;Douai;2;25;61
060;Béziers;2;25;53
061;Montbéliard;2;25;137
062;Angoulême;2;25;94
063;Niort;2;25;91
064;Bourges;2;25;111
065;Chartres;2;25;117
066;La Roche-sur-Yon;2;25;45
067;Cholet;2;25;26
068;Boulogne-sur-Mer;2;25;80
069;Arras;2;25;163
070;Chalon-sur-Saône;2;25;109
071;Cherbourg-en-Cotentin;2;25;77
072;Narbonne;2;25;71
073;Calais;2;25;45
074;Blois;2;24;78
075;Laval;2;24;66
076;Beauvais;2;24;162
077;Maubeuge (partie française);2;24;65
078;Compiègne;2;24;101
079;Roanne;2;24;88
080;Bourg-en-Bresse;2;24;80
081;Montauban;2;24;50
082;Albi;2;24;91
083;Évreux;2;24;108
084;Mâcon;2;24;105
085;Tarbes;2;24;153
086;Belfort;2;24;91
087;Brive-la-Gaillarde;2;24;80
088;Saint-Malo;2;24;35
089;Alès;2;24;64
090;Charleville-Mézières;2;24;132
091;Carcassonne;2;23;115
092;Fréjus;2;23;6
